AGENT.ID,TotalIn,TotalOut,Movements,NetBalance
523,0,16962246,5,-16962246
524,0,7974305,10,-7974305
525,0,16230659,2,-16230659
526,0,14046545,5,-14046545
527,0,10636386,7,-10636386
528,0,661985,1,-661985
529,983751229,157892857,120,825858372
530,0,3599213,1,-3599213
531,0,121972347,34,-121972347
532,0,89883363,18,-89883363
533,0,920993,1,-920993
534,0,35893733,8,-35893733
535,0,571770485,114,-571770485
536,0,5472432315,109,-5472432315
537,0,96059,1,-96059
538,0,21598818,5,-21598818
539,0,18083616,3,-18083616
540,0,5610162,2,-5610162
541,10512976,5878461,3,4634515
542,0,453027459,14,-453027459
543,0,8831481,5,-8831481
544,0,1868533,2,-1868533
545,0,10030154,7,-10030154
546,0,12175569,5,-12175569
547,0,19185983,3,-19185983
548,0,164750846,29,-164750846
549,0,2280739,1,-2280739
550,0,2996753502,25,-2996753502
551,0,41538446,1,-41538446
552,0,1701157,1,-1701157
553,0,94248,1,-94248
554,0,20562090,11,-20562090
555,0,1980341,2,-1980341
556,0,7227738,3,-7227738
557,0,103750284,5,-103750284
558,0,29279954,3,-29279954
559,0,3723883405,5,-3723883405
560,0,9637575,1,-9637575
561,4036258435,372612438,149,3663645997
562,973177319,5192785285,95,-4219607966
563,0,23348148,1,-23348148
564,0,291118936,80,-291118936
565,0,26553270,10,-26553270
566,0,1408386,1,-1408386
567,0,887909,1,-887909
568,0,874926,1,-874926
569,0,15411609,4,-15411609
570,0,3579703,3,-3579703
571,0,9003875,1,-9003875
572,0,11129711,2,-11129711
573,0,8066480,2,-8066480
574,0,38008843,19,-38008843
575,0,22051242,5,-22051242
576,0,1028903,3,-1028903
577,0,230685192,10,-230685192
578,0,578516587,23,-578516587
579,0,7727616,3,-7727616
580,0,3139101,1,-3139101
581,0,8829582,1,-8829582
582,0,33770262,1,-33770262
583,0,1457559,1,-1457559
584,0,43040860,9,-43040860
585,142015167,0,12,142015167
586,0,25431416,16,-25431416
587,0,11977640,6,-11977640
588,36699522,19637884,2,17061638
589,0,7850434,1,-7850434
590,0,9885501,3,-9885501
591,0,36137867,9,-36137867
592,0,472036035,59,-472036035
593,0,8708333,2,-8708333
594,0,10946632,2,-10946632
595,0,22001483,3,-22001483
596,0,155790219,22,-155790219
597,0,13809326,5,-13809326
598,0,96262863,17,-96262863
599,2352165153,75390755,150,2276774398
600,0,45865953,19,-45865953
601,0,11242696,6,-11242696
602,0,12857042,2,-12857042
603,0,240603961,18,-240603961
604,0,13542791,2,-13542791
605,0,10880095,1,-10880095
606,0,542289,1,-542289
607,0,2656394838,26,-2656394838
608,4022653,0,5,4022653
609,860809826,76242394,88,784567432
610,17782645,63549066,8,-45766421
611,0,42024432,12,-42024432
612,0,99170697,3,-99170697
613,0,985549,1,-985549
614,0,1691971,1,-1691971
615,433601693,56713716,55,376887977
616,0,3174039,1,-3174039
617,0,66373826,23,-66373826
618,0,2336741273,30,-2336741273
619,0,9643340,2,-9643340
620,0,185931513,9,-185931513
621,0,19124287,3,-19124287
622,0,24862994,6,-24862994
623,0,143769,1,-143769
624,0,8637886538,43,-8637886538
625,551091171,61511766,14,489579405
626,0,10516871,3,-10516871
627,0,7906971,3,-7906971
628,0,10559607,3,-10559607
629,0,296009,1,-296009
630,0,65026122,7,-65026122
631,0,123172,1,-123172
632,0,42062830,5,-42062830
633,0,29164714,2,-29164714
634,0,14486916,6,-14486916
635,0,104194597,21,-104194597
636,0,5280302,2,-5280302
637,0,20046415052,18,-20046415052
638,0,81551376,18,-81551376
639,0,1083732210,20,-1083732210
640,0,2420748316,24,-2420748316
641,0,16807105,2,-16807105
642,1453384566,14302995,94,1439081571
643,0,16279736,1,-16279736
644,0,4276707,3,-4276707
645,0,21014622,1,-21014622
646,63019605,613717657,81,-550698052
647,0,291733,2,-291733
