timestamp,cash,altcoin,value,exposure
1736755200000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736769600000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736784000000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736798400000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736812800000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736827200000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736841600000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736856000000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736870400000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736884800000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736899200000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736913600000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736928000000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736942400000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736956800000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736971200000,1003384.6852085432,0.0,1003384.6852085432,0.0
1736985600000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737000000000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737014400000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737028800000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737043200000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737057600000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737072000000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737086400000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737100800000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737115200000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737129600000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737144000000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737158400000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737172800000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737187200000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737201600000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737216000000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737230400000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737244800000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737259200000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737273600000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737288000000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737302400000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737316800000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737331200000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737345600000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737360000000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737374400000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737388800000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737403200000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737417600000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737432000000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737446400000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737460800000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737475200000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737489600000,1003384.6852085432,0.0,1003384.6852085432,0.0
1737504000000,1003384.6852085432,0.0,1003384.6852085432,0.0
